FID,UtcTimestamp,lat,lon,time_utc
0,2026-07-06T08:21:32.0000000+00:00,36.07831667,14.46928333,2026-07-06 08:21:32
1,2026-07-06T08:51:34.0000000+00:00,36.0773,14.46726667,2026-07-06 08:51:34
2,2026-07-06T09:21:30.0000000+00:00,36.0764,14.46586667,2026-07-06 09:21:30
3,2026-07-06T09:51:31.0000000+00:00,36.07516667,14.46445,2026-07-06 09:51:31
4,2026-07-06T10:21:25.0000000+00:00,36.0734,14.46266667,2026-07-06 10:21:25
5,2026-07-06T10:51:31.0000000+00:00,36.07145,14.46061667,2026-07-06 10:51:31
6,2026-07-06T11:21:30.0000000+00:00,36.06928333,14.45838333,2026-07-06 11:21:30
7,2026-07-06T11:51:27.0000000+00:00,36.06685,14.45591667,2026-07-06 11:51:27
8,2026-07-06T12:21:30.0000000+00:00,36.06508333,14.45345,2026-07-06 12:21:30
9,2026-07-06T12:51:30.0000000+00:00,36.0631,14.45148333,2026-07-06 12:51:30
10,2026-07-06T13:21:30.0000000+00:00,36.06046667,14.44958333,2026-07-06 13:21:30
11,2026-07-06T13:51:30.0000000+00:00,36.05688333,14.44876667,2026-07-06 13:51:30
12,2026-07-06T14:21:30.0000000+00:00,36.05338333,14.44885,2026-07-06 14:21:30
13,2026-07-06T14:51:30.0000000+00:00,36.05005,14.44891667,2026-07-06 14:51:30
14,2026-07-06T15:21:31.0000000+00:00,36.04653333,14.44858333,2026-07-06 15:21:31
15,2026-07-06T15:51:30.0000000+00:00,36.04366667,14.44856667,2026-07-06 15:51:30
16,2026-07-06T16:21:29.0000000+00:00,36.04008333,14.44871667,2026-07-06 16:21:29
17,2026-07-06T16:51:31.0000000+00:00,36.03646667,14.44941667,2026-07-06 16:51:31
18,2026-07-06T17:21:31.0000000+00:00,36.0322,14.45056667,2026-07-06 17:21:31
19,2026-07-06T17:51:30.0000000+00:00,36.0274,14.4515,2026-07-06 17:51:30
20,2026-07-06T18:21:28.0000000+00:00,36.02215,14.45228333,2026-07-06 18:21:28
21,2026-07-06T18:51:30.0000000+00:00,36.01675,14.45276667,2026-07-06 18:51:30
22,2026-07-06T19:21:31.0000000+00:00,36.01181667,14.45278333,2026-07-06 19:21:31
23,2026-07-06T19:51:35.0000000+00:00,36.0076,14.45308333,2026-07-06 19:51:35
24,2026-07-06T20:21:31.0000000+00:00,36.00421667,14.45378333,2026-07-06 20:21:31
25,2026-07-06T20:51:31.0000000+00:00,36.00123333,14.45528333,2026-07-06 20:51:31
26,2026-07-06T21:21:30.0000000+00:00,35.99838333,14.45753333,2026-07-06 21:21:30
27,2026-07-06T21:51:27.0000000+00:00,35.99655,14.46076667,2026-07-06 21:51:27
28,2026-07-06T22:21:31.0000000+00:00,35.99558333,14.46481667,2026-07-06 22:21:31
29,2026-07-06T22:51:31.0000000+00:00,35.99535,14.4696,2026-07-06 22:51:31
30,2026-07-06T23:21:32.0000000+00:00,35.99543333,14.4748,2026-07-06 23:21:32
31,2026-07-06T23:51:31.0000000+00:00,35.995,14.48048333,2026-07-06 23:51:31
32,2026-07-07T00:21:31.0000000+00:00,35.99413333,14.48691667,2026-07-07 00:21:31
33,2026-07-07T00:51:57.0000000+00:00,35.99285,14.4938,2026-07-07 00:51:57
34,2026-07-07T01:21:58.0000000+00:00,35.9912,14.50095,2026-07-07 01:21:58
35,2026-07-07T01:51:31.0000000+00:00,35.98958333,14.50818333,2026-07-07 01:51:31
36,2026-07-07T02:22:02.0000000+00:00,35.98806667,14.51558333,2026-07-07 02:22:02
37,2026-07-07T02:51:31.0000000+00:00,35.98686667,14.52263333,2026-07-07 02:51:31
