FID,UtcTimestamp,lat,lon,time_utc,pred_lat,pred_lon,separation_km
55,2026-07-07T11:52:01.0000000+00:00,35.90508333,14.6123,2026-07-07 11:52:01,35.898884,14.612367,0.6894195674415224
56,2026-07-07T12:21:31.0000000+00:00,35.89888333,14.61236667,2026-07-07 12:21:31,35.898884,14.612367,1.5270090167694608e-05
57,2026-07-07T12:51:30.0000000+00:00,35.89265,14.61165,2026-07-07 12:51:30,35.893333,14.616033,0.40206238872175315
58,2026-07-07T13:21:30.0000000+00:00,35.88688333,14.61066667,2026-07-07 13:21:30,35.887775,14.619292,0.783362954698054
59,2026-07-07T13:51:28.0000000+00:00,35.8812,14.6095,2026-07-07 13:51:28,35.88227,14.622181,1.1487009070629797
60,2026-07-07T14:21:30.0000000+00:00,35.87563333,14.60808333,2026-07-07 14:21:30,35.876858,14.624713,1.50441569031157
61,2026-07-07T14:51:31.0000000+00:00,35.8702,14.60643333,2026-07-07 14:51:31,35.871582,14.62692,1.8523712785019082
62,2026-07-07T15:21:30.0000000+00:00,35.86525,14.60476667,2026-07-07 15:21:30,35.866524,14.628853,2.1750605019830553
63,2026-07-07T15:51:32.0000000+00:00,35.862,14.60345,2026-07-07 15:51:32,35.861675,14.63049,2.4370549393742604
64,2026-07-07T16:21:30.0000000+00:00,35.85856667,14.60216667,2026-07-07 16:21:30,35.857063,14.631893,2.6841243917713973
65,2026-07-07T16:51:31.0000000+00:00,35.85568333,14.60135,2026-07-07 16:51:31,35.852726,14.633129,2.8828765493220523
66,2026-07-07T17:21:30.0000000+00:00,35.85285,14.60155,2026-07-07 17:21:30,35.848698,14.634321,2.989422143167412
67,2026-07-07T17:51:30.0000000+00:00,35.85053333,14.60228333,2026-07-07 17:51:30,35.84502,14.635541,3.059658034456308
68,2026-07-07T18:21:55.0000000+00:00,35.84888333,14.603,2026-07-07 18:21:55,35.841724,14.636823,3.1507521617325973
69,2026-07-07T18:51:30.0000000+00:00,35.84765,14.60421667,2026-07-07 18:51:30,35.83887,14.638193,3.2144048626123762
70,2026-07-07T19:21:30.0000000+00:00,35.84658333,14.60531667,2026-07-07 19:21:30,35.83642,14.639656,3.2953040344745594
